iter	Passed	Remaining
841	1377	258
842	1378	256
843	1379	254
844	1380	253
845	1382	251
846	1383	249
847	1384	248
848	1386	246
849	1387	244
850	1388	243
851	1389	241
852	1391	239
853	1392	238
854	1393	236
855	1394	234
856	1396	232
857	1397	231
858	1399	229
859	1400	228
860	1401	226
861	1402	224
862	1404	222
863	1405	221
864	1406	219
865	1407	217
866	1409	216
867	1410	214
868	1411	212
869	1413	211
870	1414	209
871	1415	207
872	1416	206
873	1417	204
874	1419	202
875	1420	201
876	1421	199
877	1422	197
878	1423	195
879	1425	194
880	1426	192
881	1427	191
882	1429	189
883	1430	187
884	1431	186
885	1432	184
886	1433	182
887	1434	180
888	1436	179
889	1437	177
890	1438	176
891	1439	174
892	1441	172
893	1443	171
894	1445	169
895	1446	167
896	1448	166
897	1450	164
898	1452	163
899	1453	161
900	1455	159
901	1457	158
902	1458	156
903	1460	155
904	1461	153
905	1462	151
906	1463	150
907	1464	148
908	1466	146
909	1467	145
910	1468	143
911	1470	141
912	1471	140
913	1473	138
914	1474	136
915	1475	135
916	1476	133
917	1478	132
918	1479	130
919	1480	128
920	1481	127
921	1483	125
922	1484	123
923	1485	122
924	1487	120
925	1488	118
926	1490	117
927	1491	115
928	1492	114
929	1494	112
930	1495	110
931	1496	109
932	1498	107
933	1499	105
934	1500	104
935	1502	102
936	1503	101
937	1505	99
938	1506	97
939	1507	96
940	1508	94
941	1509	92
942	1511	91
943	1512	89
944	1513	88
945	1515	86
946	1516	84
947	1518	83
948	1519	81
949	1521	80
950	1522	78
951	1523	76
952	1524	75
953	1525	73
954	1526	71
955	1528	70
956	1529	68
957	1530	67
958	1532	65
959	1533	63
960	1534	62
961	1536	60
962	1537	59
963	1538	57
964	1539	55
965	1540	54
966	1542	52
967	1543	51
968	1544	49
969	1545	47
970	1547	46
971	1548	44
972	1549	43
973	1551	41
974	1552	39
975	1554	38
976	1555	36
977	1556	35
978	1557	33
979	1558	31
980	1560	30
981	1561	28
982	1563	27
983	1564	25
984	1565	23
985	1566	22
986	1567	20
987	1569	19
988	1570	17
989	1571	15
990	1572	14
991	1573	12
992	1574	11
993	1576	9
994	1577	7
995	1578	6
996	1580	4
997	1581	3
998	1582	1
999	1583	0
